dept,sub
建築專業學院,繪畫創作及技巧
建築專業學院,施工圖(二)
建築專業學院,敷地計劃
建築專業學院,建築設計(七)
建築專業學院,建築法規
建築專業學院,建築電腦表現法
建築專業學院,建築材料
建築專業學院,省能建築
建築專業學院,高效能建築實務
建築專業學院,海外深度實習(一)
建築專業學院,萊特建築學院實作學習
建築專業學院,綠建築專論
建築專業學院,數位環境分析與理論閱讀
建築專業學院,建築設計實習
建築專業學院,建築設計(九)
建築專業學院,療癒景觀理論與案例分析
建築專業學院,建築行政實務
學分學程,法律經濟學(一)
學分學程,公平交易法
學分學程,智慧財產權
學分學程,農村發展理論與實務
學分學程,景觀與遊憩概論
學分學程,系統工程方法
學分學程,創意設計與工程實作
學分學程,航空企業實務講座
學分學程,基礎航空器概論
學分學程,傳播概論
學分學程,影像應用創作(一)
學分學程,菁英口譯技巧
學分學程,菁英職場英語
學分學程,菁英英語聽講溝通技巧
學分學程,菁英英文閱讀及寫作
學分學程,創業入門
學分學程,創業實作
學分學程,水資源環境規劃實務
學分學程,華人社會與文化
學分學程,華語多媒體電腦輔助教學
學分學程,華語文教學導論
學分學程,漢語語言學概論
學分學程,短篇小說選讀
學分學程,俄文(一)
學分學程,越南文(一)
學分學程,越南文(二)
學分學程,英語能力檢定考試策略與技巧(一)
學分學程,漫畫日語
學分學程,韓文(一)
學分學程,韓文(二)
學分學程,韓文(三)
學分學程,日文(一)
學分學程,日文(二)
學分學程,網路日文
學分學程,日語會話
學分學程,日語語法
學分學程,西班牙文(一)
學分學程,西班牙文(二)
學分學程,英文閱讀(一)
學分學程,科技英文閱讀(一)
學分學程,英文寫作(一)
學分學程,法文(一)
學分學程,新聞英語閱讀
學分學程,法文(二)
學分學程,英語會話(一)
學分學程,泰語(一)
學分學程,法文(三)
學分學程,德文(一)
學分學程,德文(三)
學分學程,電子商務安全
學分學程,工業衛生
學分學程,工業安全衛生法規
學分學程,專案管理規劃與應用
學分學程,綠色能源概論
學分學程,生質能源
學分學程,生質能源模廠操作
學分學程,物聯網概論
學分學程,皮革成本管理
學分學程,皮革機械與輸送系統
學分學程,皮革產業專論
學分學程,企業流程實務與ERP應用
學分學程,成衣生產與物料管理
學分學程,成衣設計與時尚規劃和行銷管理
學分學程,鞋業製程與業務行銷專業英文
學分學程,鞋類流行與設計
學分學程,智慧軌道運輸概論
學分學程,軌道土木建設工程導論
通識核心課,心理劇與自我成長
通識核心課,音樂、語言與大腦
通識核心課,人生哲學
通識核心課,人造環境欣賞
通識核心課,中國文物欣賞
通識核心課,佛家思想
通識核心課,音樂欣賞
通識核心課,詩詞欣賞
通識核心課,西洋美術賞析
通識核心課,中國文化遺產及其藝術
通識核心課,紀實影像解析
通識核心課,日本歷史與文化
通識核心課,倫理價值與生命哲學
通識核心課,文學、電影DIY
通識核心課,古典小說
通識核心課,台灣文學
通識核心課,台灣民間信仰
通識核心課,生死與哲學
通識核心課,宗教與人生
通識核心課,音樂與人生
通識核心課,現代散文
通識核心課,當代文學閱讀與寫作
通識核心課,電影藝術專題講座　
通識核心課,領導的藝術
通識核心課,批判思考
通識核心課,性別與醫學倫理
通識核心課,旅遊與多元學習	
通識核心課,從風景繪畫看臺灣歷史
通識核心課,向儒道思想學情緒管理
通識核心課,倫理思維與社會正義
通識核心課,台灣環境與永續生活
通識核心課,阿拉伯世界：生活與經貿
通識核心課,世界音樂賞析
通識核心課,華語溝通(初級班)
通識核心課,土地關懷之旅
通識核心課,世界建築欣賞
通識核心課,生命科學
通識核心課,生活中之物理
通識核心課,皮膚保養醫學
通識核心課,第三波戰爭之科技武器
通識核心課,環境化學與環境生態
通識核心課,現代軍事學
通識核心課,科學傳播概論
通識核心課,生活中的毒化物
通識核心課,職業安全與衛生
通識核心課,實用營養學
通識核心課,國防科技與產業發展
通識核心課,創新綠色科技
通識核心課,系統品質建模與挑戰
通識核心課,全球暖化與綠色環境設計
通識核心課,奈米科技與生活
通識核心課,科學的發明與應用
通識核心課,殺蟲劑與生活
通識核心課,肇事科學鑑定實務
通識核心課,認識天然災害
通識核心課,衛星科技應用
通識核心課,營養與健康
通識核心課,環境資源保育探索專題
通識核心課,環境與公害
通識核心課,醫學與人生
通識核心課,化粧品科學與生活時尚
通識核心課,材料與生活
通識核心課,智慧城市與行動應用
通識核心課,智慧城市無所不在的監測系統
通識核心課,3D城市與數位校園
通識核心課,食品加工的秘密
通識核心課,行政學
通識核心課,政治學
通識核心課,國際關係
通識核心課,戀愛心理學
通識核心課,公民社會的政策參與
通識核心課,智慧財產之保護與實務
通識核心課,心理學整合與發展
通識核心課,教育的理論與實踐
通識核心課,經濟與生活
通識核心課,管理面面觀
通識核心課,大陸問題研究
通識核心課,台灣社會文化變遷
通識核心課,民法實用
通識核心課,投資與理財
通識核心課,服務學習專題
通識核心課,婚姻與家庭
通識核心課,新聞與媒體
通識核心課,綠色環境與經濟
通識核心課,性別教育與服務-學習
通識核心課,智慧城市競爭力
通識核心課,現代韓國社會和文化
通識核心課,居住與城市研究
通識核心課,時間管理專題
通識核心課,初階智慧型創新
通識核心課,觀光美儀與國際禮儀
通識核心課,空間資訊與智慧生活
通識核心課,專案管理基礎知識培養
通識核心課,消費行為與新產品企劃
通識核心課,從空間看世界
通識核心課,美好時光，社群聚場
通識核心課,圓一場藝術家的夢
