scr_selcode,sub_id3,cname,credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_period,precnt,acptcnt,note,unt_ls,cls_id,sub_id,scr_dup,year,sms,deptId,courseid,tname,cid,tid,populartiy,ct,course_id,score
3026,COE504,皮革污水處理,3.0,必修,否,否,否,皮革科技與管理學程,(二)11-13 人B119A 林俊德,88.0,0.0, ,8888,PC56100,11071,1,107,2,PC,1072PC5610011071001,['林俊德'],1937,469,0.0,1937_469,166d74d99bfd1c27d0fa938271a88af689a536b13e95f9e84beaeb9cadcfa1de0e483db2a9c91c2e,
3027,COE502,皮革生產管理,3.0,必修,否,否,否,皮革科技與管理學程,(一)11-13 人B119A 白志祥,88.0,0.0, ,8888,PC56100,11073,1,107,2,PC,1072PC5610011073001,['白志祥'],1938,898,0.0,1938_898,166d74d99bfd1c27d0fa938271a88af689a536b13e95f9e8607e2663c3193c880e483db2a9c91c2e,
3035,TTM208,智慧城市與軌道發展實務,3.0,必修,否,否,否,智慧軌道運輸學程,(二)11-13 忠303 葉昭甫,60.0,0.0,,8888,PC68100,48338,1,107,2,PC,1072PC6810048338001,['葉昭甫'],1946,721,0.0,1946_721,166d74d99bfd1c2770be98327bd3220fed87b2619705a7eb190b52da211a1dd30e483db2a9c91c2e,"課堂參與討論      10%
團隊報告          30%
期中考(選擇題)    30%
期末考(選擇題)    30%"
3053,LC296,英語能力檢定考試策略與技巧(二),2.0,選修,否,否,否,應用外語選修,(二)01-02 資電B07 王雅慧,60.0,0.0,開放全校學生修習，於選課時間逕行網路加退選。,8888,XA01101,26442,2,107,2,XA,1072XA0110126442002,['王雅慧'],1913,887,0.0,1913_887,166d74d99bfd1c27041145a8ba60fadc55c195311710bcbd7c7b3348787b71444ccebb216b101181,
3054,LC296,英語能力檢定考試策略與技巧(二),2.0,選修,否,否,否,應用外語選修,(三)01-02 資電B07 蔚賾休,60.0,0.0,開放全校學生修習，於選課時間逕行網路加退選。,8888,XA01101,26442,3,107,2,XA,1072XA0110126442003,['蔚賾休'],1913,788,0.0,1913_788,166d74d99bfd1c27041145a8ba60fadc55c195311710bcbd7c7b3348787b714458d4f77af0af7684,
3058,LC388,商用日語,2.0,選修,否,否,否,應用外語選修,(二)06-07 人601 黃煇慶,60.0,0.0,修習過日文(一)(二)之學生始能選修，選課期間網路加退選,8888,XA01101,31332,3,107,2,XA,1072XA0110131332003,['黃煇慶'],1915,335,0.0,1915_335,166d74d99bfd1c27041145a8ba60fadc1bc02670097646f221d1297116339e6b58d4f77af0af7684,
3090,LC387,日語讀解,2.0,選修,否,否,否,應用外語選修,(一)08-09 人706 林盈萱,60.0,0.0,修習過日文(一)(二)之學生始能選修，選課期間網路加退選,8888,XA01101,97249,2,107,2,XA,1072XA0110197249002,['林盈萱'],1919,882,0.0,1919_882,166d74d99bfd1c27041145a8ba60fadc185a59231eb81ba7b81362d5efaf1c2e4ccebb216b101181,
3091,LC387,日語讀解,2.0,選修,否,否,否,應用外語選修,(四)01-02 人606 陳俊廷,60.0,0.0,修習過日文(一)(二)之學生始能選修，選課期間網路加退選,8888,XA01101,97249,3,107,2,XA,1072XA0110197249003,['陳俊廷'],1919,883,0.0,1919_883,166d74d99bfd1c27041145a8ba60fadc185a59231eb81ba7b81362d5efaf1c2e58d4f77af0af7684,
3095,LC231,英文閱讀(二),2.0,選修,否,否,否,應用外語選修,(三)08-09 人707 鄭宜玫,60.0,0.0,開放全校學生修習，於選課時間逕行網路加退選。,8888,XA01101,97430,1,107,2,XA,1072XA0110197430001,['鄭宜玫'],1920,6,0.0,1920_6,166d74d99bfd1c27041145a8ba60fadc185a59231eb81ba755fd53b7d3ee835c0e483db2a9c91c2e,"*Classroom worksheets: 30%
*Discussion board: 20% (1% for each entry)
*Reader presentation: 20%
*Reader worksheets: 30%"
3096,LC231,英文閱讀(二),2.0,選修,否,否,否,應用外語選修,(四)06-07 資電102 廖珮珈,60.0,0.0,開放全校學生修習，於選課時間逕行網路加退選。,8888,XA01101,97430,2,107,2,XA,1072XA0110197430002,['廖珮珈'],1920,374,0.0,1920_374,166d74d99bfd1c27041145a8ba60fadc185a59231eb81ba755fd53b7d3ee835c4ccebb216b101181,
